seg.hc.segment,id
1,6
2,9
1,11
2,12
2,14
2,15
2,22
2,23
2,24
1,31
3,38
2,39
2,40
2,45
2,56
2,58
2,59
2,60
4,64
2,66
2,67
3,75
3,76
2,78
3,81
3,88
3,94
4,95
3,96
2,104
4,106
3,110
1,111
2,112
3,114
4,115
2,116
2,120
3,125
2,127
1,134
4,137
2,139
4,145
4,147
4,149
4,150
1,152
2,155
2,156
4,157
2,159
3,160
4,162
2,163
3,169
3,170
4,177
3,178
3,179
2,184
3,185
3,186
2,187
3,188
3,189
2,190
3,192
2,194
2,206
3,212
2,213
2,214
2,216
3,218
3,222
4,223
2,228
3,231
2,233
1,235
2,238
3,239
3,244
1,245
1,252
2,256
2,257
1,259
2,262
2,264
2,267
2,268
2,276
4,278
4,279
4,280
3,283
4,284
3,285
3,288
3,289
2,293
2,298
4,299
2,300
4,301
4,303
2,304
4,307
4,319
1,322
2,323
4,324
4,325
4,326
2,327
2,328
2,329
3,331
3,333
2,339
4,345
2,346
2,348
2,355
2,357
3,358
2,359
2,360
3,367
2,369
3,371
4,378
3,379
4,382
2,383
2,384
1,386
2,387
1,390
3,392
4,393
4,398
3,401
4,402
1,403
2,405
1,412
3,413
3,415
1,416
3,417
1,418
4,419
2,420
2,431
3,440
3,442
1,450
3,451
2,457
3,458
3,460
3,461
4,466
2,468
2,469
4,471
3,473
1,474
2,485
3,488
3,490
1,492
2,502
3,504
3,507
2,509
2,511
1,514
2,515
2,517
1,518
2,519
3,521
3,526
2,530
3,532
4,533
2,535
3,537
3,594
3,598
4,601
2,604
3,608
2,620
3,622
4,625
3,630
3,631
3,632
1,633
3,634
3,635
3,638
4,639
3,641
2,644
1,645
3,647
2,652
4,654
3,655
3,656
2,662
4,666
1,670
2,673
4,675
3,676
4,678
2,680
1,683
2,685
4,689
3,690
4,698
3,699
2,700
4,702
4,704
2,705
2,706
1,707
3,708
4,714
2,716
2,717
3,718
3,720
2,729
1,731
4,734
3,736
1,737
3,738
1,739
3,744
2,747
3,750
3,751
3,753
3,754
3,756
4,760
3,761
3,765
2,768
3,769
4,771
2,772
3,774
4,777
2,781
1,782
3,784
2,786
1,787
3,790
2,792
2,794
2,795
2,796
3,797
3,798
2,799
1,800
3,802
2,804
3,811
2,812
2,813
2,815
2,816
3,817
3,821
2,822
1,823
4,824
2,825
4,826
1,830
1,835
4,836
2,841
3,845
4,848
1,850
1,851
3,852
3,854
1,855
1,857
1,859
4,864
3,865
1,869
2,875
1,881
2,882
2,883
4,897
3,898
2,900
4,902
4,903
2,905
2,908
3,909
2,914
4,917
4,921
3,927
3,929
2,931
1,934
4,936
4,940
2,942
2,949
3,951
2,954
2,959
1,961
2,963
2,969
2,971
3,972
2,974
3,975
2,976
2,978
1,979
4,980
4,986
3,987
2,989
1,991
4,996
1,1007
3,1012
2,1013
4,1016
3,1018
1,1020
3,1021
3,1023
2,1025
3,1027
3,1028
2,1036
1,1038
4,1040
3,1043
3,1045
2,1051
3,1053
2,1054
3,1057
2,1058
2,1061
4,1066
2,1075
4,1076
1,1078
2,1082
1,1086
2,1088
3,1089
1,1090
4,1098
3,1103
1,1104
2,1109
2,1111
3,1121
1,1132
1,1133
4,1143
3,1157
4,1171
3,1180
3,1189
3,1199
2,1208
3,1213
1,1225
3,1229
1,1245
4,1267
4,1270
3,1273
3,1274
2,1276
3,1327
2,1337
3,1342
2,1374
3,1375
2,1376
3,1382
2,1387
1,1395
3,1402
2,1416
3,1429
2,1437
4,1459
3,1460
4,1461
1,1473
1,1474
2,1482
3,1484
3,1486
3,1487
4,1498
4,1499
3,1508
1,1522
4,1523
3,1528
4,1530
1,1532
2,1534
2,1537
1,1539
3,1540
3,1543
3,1546
2,1549
3,1557
2,1559
2,1561
2,1562
3,1564
1,1565
3,1566
2,1571
2,1574
3,1576
3,1577
3,1578
1,1584
1,1586
2,1587
3,1589
3,1591
2,1593
2,1594
2,1595
3,1597
3,1601
4,1602
4,1607
1,1610
3,1611
3,1612
3,1614
1,1616
2,1617
1,1619
1,1620
3,1625
4,1626
4,1629
3,1630
3,1634
3,1635
2,1640
2,1646
3,1647
1,1652
1,1653
3,1656
1,1658
1,1662
4,1663
1,1664
3,1667
2,1669
1,1670
3,1677
3,1679
3,1682
3,1684
3,1687
3,1688
3,1689
1,1691
1,1696
1,1698
3,1703
1,1705
1,1706
1,1707
2,1708
1,1712
1,1713
1,1716
3,1718
4,1722
2,1724
3,1730
2,1731
4,1732
4,1733
2,1734
3,1735
4,1736
4,1739
1,1741
3,1747
1,1749
3,1753
1,1754
4,1757
1,1761
4,1768
3,1771
3,1772
3,1773
2,1774
3,1775
4,1780
4,1782
1,1784
2,1785
3,1787
2,1789
2,1790
4,1791
3,1794
2,1795
3,1796
3,1797
1,1798
3,1799
3,1800
2,1802
2,1803
4,1804
2,1809
3,1814
2,1815
2,1818
3,1820
3,1823
4,1824
2,1825
1,1826
3,1827
2,1828
4,1829
2,1831
1,1833
1,1834
3,1835
2,1837
3,1839
2,1841
4,1844
4,1851
4,1852
1,1853
2,1854
1,1855
4,1857
1,1858
1,1861
2,1862
4,1863
1,1867
1,1871
2,1875
2,1891
1,1901
4,1914
1,1919
3,1920
4,1925
